original_id,transcribing_count,transcribing_duration_min,submitted_count,submitted_duration_min,trashed_count,trashed_duration_min,total_segments,total_duration_min
STT_GR_0001,29,3.36,24,3.62,1,0.03,54,7.01
STT_GR_0002,114,9.17,318,27.2,4,0.46,436,36.83
STT_GR_0003,249,23.06,170,23.05,4,0.26,423,46.37
STT_GR_0004,217,10.51,85,9.86,7,2.25,309,22.62
STT_GR_0005,62,7.54,55,8.16,1,0.17,118,15.87
STT_GR_0006,75,5.23,36,3.15,7,2.41,118,10.79
STT_GR_0007,154,9.05,36,5.63,5,1.67,195,16.35
STT_GR_0008,121,10.6,57,6.74,11,3.31,189,20.65
STT_GR_0009,88,4.69,35,3.22,7,1.22,130,9.13
STT_GR_0010,310,23.43,171,19.63,9,3.33,490,46.39
STT_GR_0011,159,16.83,65,9.18,24,6.52,248,32.53
STT_GR_0012,295,20.18,135,15.43,14,3.87,444,39.48
STT_GR_0013,73,4.44,35,4.6,0,0.0,108,9.04
STT_GR_0014,127,15.4,119,15.1,6,1.66,252,32.16
STT_GR_0015,101,8.43,65,7.45,5,1.4,171,17.28
STT_GR_0016,121,12.87,90,10.68,15,3.26,226,26.81
STT_GR_0017,137,7.31,61,9.05,3,1.0,201,17.36
STT_GR_0018,16,0.6,30,2.4,3,0.21,49,3.21
STT_GR_0019,324,21.16,84,13.14,43,7.05,451,41.35
STT_GR_0020,44,6.03,56,7.06,0,0.0,100,13.09
STT_GR_0021,166,15.91,128,13.82,9,2.18,303,31.91
STT_GR_0022,328,29.24,213,26.32,11,2.01,552,57.57
STT_GR_0023,164,16.25,132,15.17,7,0.81,303,32.23
STT_GR_0024,220,20.05,108,13.06,25,4.7,353,37.81
STT_GR_0025,103,6.02,58,5.94,3,0.37,164,12.33
STT_GR_0026,103,11.87,76,11.18,2,0.34,181,23.39
STT_GR_0027,68,9.06,64,8.03,1,0.26,133,17.35
STT_GR_0028,138,13.2,87,12.0,3,0.33,228,25.53
STT_GR_0029,185,13.65,107,13.76,4,0.61,296,28.02
STT_GR_0030,98,4.77,35,4.27,1,0.11,134,9.15
STT_GR_0031,58,6.82,52,7.29,3,0.26,113,14.37
STT_GR_0032,12,1.08,18,1.01,19,2.03,49,4.12
STT_GR_0033,45,1.16,103,3.24,5,0.19,153,4.59
STT_GR_0034,2485,93.69,0,0.0,0,0.0,2485,93.69
STT_GR_0035,2257,85.65,0,0.0,0,0.0,2257,85.65
STT_GR_0036,807,35.05,0,0.0,0,0.0,807,35.05
STT_GR_0037,1781,72.91,0,0.0,0,0.0,1781,72.91
STT_GR_0038,1427,58.12,0,0.0,0,0.0,1427,58.12
