file_name,state,inference_transcript,transcript,reviewed_transcript,url,created_at,submitted_at,reviewed_at,audio_duration,original_id
STT_GR_0044_1298_5371112_to_5377207,submitted,རྩ་བ་སཔད་ངོ་་ནེ་པ་བྱེད་རེད།། མི་ཚང་ཅད་ན་སྡུག་ཕྲག་གཅིག་དུ།ཨོ་འནི་པའ་བ་བྱས་རེད། ཨ་མ་རྒྱས་ནས་བཟམ་པོ་སྐྱེས་ནས།,རྩ་བ་གཅིག་ནང་ལ་དངོས་གནས་རྩ་བ་གཞན་རེད་ཟེར། མི་ཚང་གཅིག་ནང་བདུན་ཕྲག་གཅིག་ནང་དངོས་གནས་པ་ཕ་སྐྱེས་རེད། ཨ་མ་སྐྱེས་རེད། སྲིང་མོ་སྐྱེས་རེད། ,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0044_1298_5371112_to_5377207.wav,2025-08-05 17:54:47.135,2025-08-06 23:37:18.157,,6.095,STT_GR_0044
STT_GR_0046_0080_654473_to_656001,submitted,སྙིང་རྗེ་དོང་དུ་གྱུར་པ་རེད་ཟེར,སྙིང་རྗེའི་གྲོགས་སུ་གྱུར་པ་རེད་ཟེར།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0046_0080_654473_to_656001.wav,2025-08-05 17:54:47.135,2025-08-09 21:17:21.352,,1.528,STT_GR_0046
STT_GR_0045_0983_8071977_to_8073709,submitted,དེ་ནས་བརྟེས་ནས་ས་བོན་ལ་ཕྱག་ཆང་དེ།,དེ་ནས་དེ་ལ་ས་བོན་ས་ཚིགས་དེ།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0045_0983_8071977_to_8073709.wav,2025-08-05 17:54:47.135,2025-08-08 17:22:47.802,,1.732,STT_GR_0045
STT_GR_0045_0018_111264_to_114660,submitted,ལས་དེ་མ་ྒྲན་ན་ཡག་པོ་ཡོད་རེད། སྡོག་ཡ་མ་རྒན་པ་ནི་ྷག་རེད་ཟེར།,སྡུག་བསྔལ་དེ་མ་དྲན་ན་ཡག་པོ་ཡོད་རེད། སྡུག་བསྔལ་མ་དྲན་པ་ལྷ་རེད་ཟེར།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0045_0018_111264_to_114660.wav,2025-08-05 17:54:47.135,2025-08-07 09:33:19.823,,3.396,STT_GR_0045
STT_GR_0094_0003_15252_to_16973,submitted,ད་དེ་རེས་ཨ།,ད་དེ་དུས་ཨ།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0094_0003_15252_to_16973.wav,2025-08-13 17:20:19.435,2025-08-17 07:21:15.370,,1.721,STT_GR_0094
STT_GR_0044_1329_5504456_to_5508123,submitted,ད་སྤང་པོ་ལ་བསྐྱེ་བ་སྤྲེ་ཁ། ལས་རྒྱུད་དལ་བརྩེ་བ་སྤྲྱེ། ཚེམས་རྩེ་ཟོ་ཡོང་གི་རེད།,དེ་དམག་མི་ལ་བརྩེ་བ་སྐྱེ་གི་རེད། ལས་བྱེད་ལ་བརྩེ་བ་སྐྱེ་གི་རེད། ཁྲིམས་བརྩི་སྲུང་ཡོང་གི་རེད།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0044_1329_5504456_to_5508123.wav,2025-08-05 17:54:47.135,2025-08-06 23:47:43.822,,3.667,STT_GR_0044
STT_GR_0044_1330_5508735_to_5512504,submitted,རང་ཁྲུང་ཀྱི་དེ་ནས་དོད་སོ་ལ། མུས་དི་བཟང་པོ་ལང་སང་འྐྱགས་ཀྱི་ཡོད་རེད་བ། ཡ,རང་ཁྲིམས་ཀྱིས་དེ་ནས་དེ་ནས་མི་དེ་བཟང་པོ་ལམ་སང་ཆགས་ཀྱི་ཡོད་རེད་བ། ཡ།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0044_1330_5508735_to_5512504.wav,2025-08-05 17:54:47.135,2025-08-06 23:48:18.862,,3.769,STT_GR_0044
STT_GR_0044_1331_5513166_to_5515543,submitted,དེ་ཙང་ལ་དེ་ནས་བྱམས་པའི་ཏིང་ངེ་ཛིན་ཡོད་ན་དེ་ནས་སྙིང་རྗེ་,དེ་ལྟ་ལ་དེ་ནས་བྱམས་པའི་ཏིང་ངེ་འཛིན་ཡོད་ན་དེ་ནས་སྙིང་རྗེ།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0044_1331_5513166_to_5515543.wav,2025-08-05 17:54:47.135,2025-08-06 23:48:34.331,,2.377,STT_GR_0044
STT_GR_0044_1332_5515882_to_5518208,submitted,སྲོག་ཆགས་མི་ཚིང་སྲོག་ྲགས་དེསྡུག་བསྔལ་དེ་དྲས་ནས་,སྲོག་ཆགས་འབུ་སྲིན་སྲོག་ཆགས་སྡུག་བསྔལ་གཅིག་སྤྲད་ན།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0044_1332_5515882_to_5518208.wav,2025-08-05 17:54:47.135,2025-08-06 23:49:07.079,,2.326,STT_GR_0044
STT_GR_0044_1334_5525203_to_5529057,submitted,ཁྱོད་རང་ལ་ཆི་ཞུང་ཆུང་རས། དེ་ནས་ཏ་བརྩེ་བ་གཅིག་རེད་བ། ཡིལ་ཆགས་བཏོང་གསད་ཀྱི་རེད།,ཁྱོད་རང་གིས་ཁྱི་ཆུང་ཆུང་ནས་བྱས་ཏེ་དཔེ་བརྩེ་བ་སྐྱེ་གི་རེད་བ། ཡིད་ཆ་ཚང་སད་ཀྱི་རེད།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0044_1334_5525203_to_5529057.wav,2025-08-05 17:54:47.135,2025-08-06 23:50:23.134,,3.854,STT_GR_0044
