original_id,transcribing_count,transcribing_duration_min,submitted_count,submitted_duration_min,accepted_count,accepted_duration_min,trashed_count,trashed_duration_min,total_segments,total_duration_min
STT_GR_0040,0,0.0,22,1.33,1,0.09,1,0.07,24,1.49
STT_GR_0041,0,0.0,15,0.73,1,0.05,0,0.0,16,0.78
STT_GR_0042,0,0.0,35,1.56,7,0.78,3,0.08,45,2.42
STT_GR_0043,0,0.0,37,2.28,0,0.0,1,0.04,38,2.32
STT_GR_0044,1,0.08,436,19.38,139,6.04,28,0.92,604,26.42
STT_GR_0045,0,0.0,671,42.21,216,12.31,30,1.48,917,56.0
STT_GR_0046,0,0.0,63,4.24,54,3.92,1,0.02,118,8.18
STT_GR_0047,0,0.0,344,26.23,17,1.81,10,0.65,371,28.69
STT_GR_0048,0,0.0,164,9.75,0,0.0,0,0.0,164,9.75
STT_GR_0049,0,0.0,31,1.58,0,0.0,0,0.0,31,1.58
STT_GR_0050,0,0.0,307,29.79,5,0.83,3,0.15,315,30.77
STT_GR_0051,0,0.0,616,26.53,146,7.1,28,1.45,790,35.08
STT_GR_0052,0,0.0,378,16.96,108,4.92,11,0.68,497,22.56
STT_GR_0053,0,0.0,26,1.3,10,0.7,24,1.14,60,3.14
STT_GR_0054,0,0.0,94,13.7,79,10.12,3,0.53,176,24.35
STT_GR_0055,0,0.0,36,2.32,1,0.11,0,0.0,37,2.43
STT_GR_0056,0,0.0,2,0.28,31,3.52,0,0.0,33,3.8
STT_GR_0057,0,0.0,17,1.99,7,0.97,0,0.0,24,2.96
STT_GR_0058,0,0.0,19,2.42,0,0.0,0,0.0,19,2.42
STT_GR_0059,0,0.0,18,2.62,0,0.0,0,0.0,18,2.62
STT_GR_0060,0,0.0,17,1.6,0,0.0,0,0.0,17,1.6
STT_GR_0061,0,0.0,9,0.93,4,0.59,0,0.0,13,1.52
STT_GR_0062,0,0.0,0,0.0,21,2.74,1,0.17,22,2.91
STT_GR_0063,0,0.0,1,0.15,13,1.41,0,0.0,14,1.56
STT_GR_0064,0,0.0,0,0.0,11,1.06,0,0.0,11,1.06
STT_GR_0065,0,0.0,0,0.0,30,3.19,0,0.0,30,3.19
STT_GR_0066,0,0.0,6,0.51,19,2.23,0,0.0,25,2.74
STT_GR_0067,0,0.0,54,5.39,14,0.92,0,0.0,68,6.31
STT_GR_0068,0,0.0,0,0.0,34,3.56,0,0.0,34,3.56
STT_GR_0069,0,0.0,0,0.0,24,1.99,0,0.0,24,1.99
STT_GR_0070,0,0.0,23,1.85,8,0.77,0,0.0,31,2.62
STT_GR_0071,0,0.0,15,1.16,0,0.0,0,0.0,15,1.16
STT_GR_0072,0,0.0,49,4.39,0,0.0,0,0.0,49,4.39
STT_GR_0073,0,0.0,17,1.97,0,0.0,0,0.0,17,1.97
STT_GR_0074,0,0.0,36,3.07,0,0.0,0,0.0,36,3.07
STT_GR_0075,0,0.0,0,0.0,17,1.66,0,0.0,17,1.66
STT_GR_0076,0,0.0,0,0.0,36,3.53,0,0.0,36,3.53
STT_GR_0077,0,0.0,20,2.18,9,0.73,0,0.0,29,2.91
STT_GR_0078,0,0.0,25,2.81,18,1.8,2,0.07,45,4.68
STT_GR_0079,0,0.0,33,3.64,3,0.36,0,0.0,36,4.0
STT_GR_0080,0,0.0,0,0.0,18,2.06,0,0.0,18,2.06
STT_GR_0081,0,0.0,11,0.98,39,3.88,0,0.0,50,4.86
STT_GR_0082,0,0.0,28,3.23,0,0.0,0,0.0,28,3.23
STT_GR_0083,0,0.0,137,13.49,20,2.86,0,0.0,157,16.35
STT_GR_0084,0,0.0,35,3.36,0,0.0,0,0.0,35,3.36
STT_GR_0085,0,0.0,9,0.6,20,2.56,0,0.0,29,3.16
STT_GR_0086,0,0.0,1,0.13,32,3.35,0,0.0,33,3.48
STT_GR_0087,0,0.0,0,0.0,17,2.23,0,0.0,17,2.23
STT_GR_0088,0,0.0,9,0.91,10,0.75,0,0.0,19,1.66
STT_GR_0089,0,0.0,13,1.09,0,0.0,0,0.0,13,1.09
STT_GR_0090,0,0.0,32,3.47,0,0.0,0,0.0,32,3.47
STT_GR_0091,0,0.0,45,5.42,0,0.0,2,0.07,47,5.49
STT_GR_0092,0,0.0,14,1.95,0,0.0,0,0.0,14,1.95
STT_GR_0093,0,0.0,15,1.79,0,0.0,2,0.05,17,1.84
STT_GR_0094,0,0.0,28,3.21,14,1.87,0,0.0,42,5.08
STT_GR_0095,0,0.0,33,3.91,26,2.5,0,0.0,59,6.41
STT_GR_0096,0,0.0,43,3.14,0,0.0,1,0.03,44,3.17
STT_GR_0097,0,0.0,11,1.2,0,0.0,0,0.0,11,1.2
STT_GR_0098,0,0.0,25,2.41,0,0.0,0,0.0,25,2.41
STT_GR_0099,0,0.0,30,2.82,0,0.0,0,0.0,30,2.82
STT_GR_0100,0,0.0,24,2.04,20,1.52,0,0.0,44,3.56
STT_GR_0101,0,0.0,13,1.55,6,0.49,0,0.0,19,2.04
STT_GR_0102,0,0.0,14,1.91,14,0.86,0,0.0,28,2.77
STT_GR_0103,0,0.0,6,0.8,14,1.63,0,0.0,20,2.43
STT_GR_0104,0,0.0,0,0.0,36,2.91,0,0.0,36,2.91
STT_GR_0105,0,0.0,1,0.17,16,1.89,0,0.0,17,2.06
STT_GR_0106,0,0.0,6,0.73,13,1.98,0,0.0,19,2.71
STT_GR_0107,0,0.0,14,2.01,0,0.0,0,0.0,14,2.01
STT_GR_0108,0,0.0,8,0.87,0,0.0,0,0.0,8,0.87
STT_GR_0109,0,0.0,11,0.84,0,0.0,0,0.0,11,0.84
STT_GR_0110,0,0.0,13,1.08,0,0.0,0,0.0,13,1.08
STT_GR_0111,0,0.0,60,5.92,0,0.0,0,0.0,60,5.92
STT_GR_0112,0,0.0,15,1.99,0,0.0,0,0.0,15,1.99
STT_GR_0113,0,0.0,16,2.04,0,0.0,0,0.0,16,2.04
STT_GR_0114,0,0.0,7,0.85,0,0.0,0,0.0,7,0.85
STT_GR_0115,0,0.0,10,1.06,19,1.74,0,0.0,29,2.8
STT_GR_0116,0,0.0,0,0.0,16,1.43,0,0.0,16,1.43
STT_GR_0117,0,0.0,0,0.0,28,2.97,0,0.0,28,2.97
STT_GR_0118,0,0.0,6,0.86,17,1.57,0,0.0,23,2.43
STT_GR_0119,0,0.0,13,1.55,0,0.0,1,0.02,14,1.57
STT_GR_0120,0,0.0,166,19.13,79,8.74,1,0.02,246,27.89
STT_GR_0121,0,0.0,130,11.13,101,8.92,2,0.06,233,20.11
STT_GR_0122,0,0.0,313,24.98,25,2.47,4,0.26,342,27.71
STT_GR_0123,0,0.0,59,6.98,130,12.95,2,0.07,191,20.0
STT_GR_0124,0,0.0,158,16.94,91,9.93,4,0.34,253,27.21
STT_GR_0125,0,0.0,116,10.3,75,7.25,2,0.05,193,17.6
STT_GR_0126,0,0.0,270,22.06,46,5.99,12,0.63,328,28.68
STT_GR_0127,1,0.1,54,5.62,158,15.46,1,0.06,214,21.24
STT_GR_0128,0,0.0,173,14.42,158,11.25,23,1.24,354,26.91
STT_GR_0129,0,0.0,104,9.99,93,8.66,3,0.12,200,18.77
STT_GR_0130,0,0.0,116,9.13,201,19.19,5,0.18,322,28.5
STT_GR_0131,0,0.0,218,21.49,0,0.0,0,0.0,218,21.49
STT_GR_0132,0,0.0,224,20.44,83,8.57,2,0.11,309,29.12
STT_GR_0133,0,0.0,101,11.09,41,4.81,1,0.05,143,15.95
STT_GR_0134,0,0.0,0,0.0,61,4.19,2,0.31,63,4.5
STT_GR_0135,0,0.0,0,0.0,41,2.22,3,0.2,44,2.42
STT_GR_0136,0,0.0,0,0.0,14,0.54,0,0.0,14,0.54
STT_GR_0137,0,0.0,0,0.0,61,2.27,0,0.0,61,2.27
STT_GR_0138,0,0.0,0,0.0,42,4.7,5,0.46,47,5.16
STT_GR_0139,0,0.0,0,0.0,163,7.55,4,0.34,167,7.89
